Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Normandie,Eure,Accompagnement,L'Oasis,MECS des Andelys I L'Oasis,6.0,Prestation en milieu ordinaire
Nouvelle Aquitaine,Gironde,Hébergement,Institut Don Bosco,MECS du Langon I Institut Don Bosco,40.0,"accueille 40 enfants, garçons et filles, de 3 à 18 ans, en internat, internat modulé, famille d’accueil et hébergement diversifié pour les grands adolescents"
Centre Val de Loire,Indre et Loire,Hébergement,Sauvegarde 37,MECS UV I Sauvegarde 37,40.0,enfants de 11 à 16 ans
Grand Est,Meurthe et Moselle,Hébergement,Groupe SOS Jeunesse,SAEF 54 I Groupe SOS Jeunesse,40.0,"accueille 40 enfants âgés de 6 à 13 ans domiciliés sur le territoire de Nancy et Couronne (deux unités, l’une à Maxéville, l’autre à Essey-Lès-Nancy)."
Grand Est,Moselle,Hébergement,Moissons Nouvelles,ITEP de Boulay I Moissons Nouvelles,40.0,"Nombre de places : 40 (29 en internat et 11 en semi-internat)
11-21ans. Mixte"
Grand Est,Moselle,Hébergement,CMSEA,MECS Le Grand Chêne I CMSEA,30.0,"Le groupe des Ecureuils  est adapté pour accueillir 10 enfants âgés de 6 à 10 ans 

Le groupe des moyens peut accueillir jusqu'à 10 préadolescents âgés de 10 à 15 ans

Le groupe des bouleaux peut accueillir 10 adolescents en prise en charge classique ou en semi-autonome"
Hauts de France,Oise,AEMO,Groupe SOS Jeunesse,AEMO de Nivilliers I Groupe SOS Jeunesse,40.0,"Le Pôle activités de jour (PAJ) s’engage à recevoir, dans la limite de sa capacité fixée à 40, des mineurs âgés de 12 à 18 ans et des jeunes majeurs de moins de 21 ans,"
Hauts de France,Pas de Calais,Hébergement,Apprentis d'Auteuil,MECS Joséphine Bakhita I Apprentis d'Auteuil ,40.0,accueille et accompagne des mineurs non accompagnés (MNA) de 15 ans et plus
Nouvelle Aquitaine,Pyrénées Atlantiques,Hébergement,Institut Don Bosco,MNA 64 I Institut Don Bosco ,40.0,"Il accueille 40 jeunes suite à une décision de placement, dans une démarche d’accompagnement pouvant aller jusqu’à 21 ans dans le cadre du Contrat Jeune Majeur."
Bourgogne Franche Comté,Haute Saône,Hébergement,AHS,Maison d'Enfants Pas à Pas I AHS,40.0,"L’établissement accueille aujourd’hui 40 enfants en internat répartis sur 2 sites (Moimay et Lure), accompagne 25 enfants dans le cadre d’Interventions Soutenues à Domicile ainsi que 10 jeunes dans le cadre d’un Service de Suite. Il réalise annuellement plus de 600 visites médiatisées entre parents et enfants. L’établissement est autorisé et financé par le Département de la Haute-Saône."
Pays de la Loire,Sarthe,Hébergement,INALTA,MECS Saint-Pavin I INALTA,40.0,"accueillir 40 garçons et filles âgés de 6 à 18 ans, voire jusqu'à 21 ans dans le cas d'un contrat jeune majeur."
Ile de France,Val d'Oise,Hébergement,Groupe SOS Jeunesse,MECS Bois Renard I Groupe SOS Jeunesse,40.0,Le foyer est habilité pour accueillir 40 jeunes de 3 à 18 ans mais ne dispose actuellement que de 28 places en accueil collectif.
Ile de France,Val d'Oise,Hébergement,Asso Jean Cotxet,MECS 95 I Asso Jean Cotxet,41.0,"11 places à la Maison des Mômes : enfants de 5 à 10 ans, mixte
10 places à la Teen House : suite de la Maison des Mômes, accueillant le même type de public ;
12 places à l’Escal’Ados : jeunes de 12 à 21 ans, confrontés à des problématiques adolescentes et/ou familiales ;
8 places aux Appartements Educatifs – accueil en semi-autonomie : jeunes de 16 à 21 ans accueillis sur plusieurs appartements suivant leur niveau d’autonomie "
Bourgogne Franche Comté,Cote d'Or,Placement à Domicile,ACODEGE,PAD I ACODEGE,41.0,"Le SPAD-SAEDR est habilité pour la mise en place de 41 mesures éducatives, ordonnées par le Magistrat, pour des enfants et adolescents âgés de la naissance à 18 ans."
Pays de la Loire,Loire Atlantique,Hébergement,SOS Villages d'Enfants,Village d'enfants de Sainte-Luce I SOS Village d'Enfants,46.0,"Nombre d’enfants par tranche d’âge :
0-5ans : 7 6-10 ans : 18
11-14ans : 13
15-17ans : 7
Jeunes majeurs : 1"
Hauts de France,Nord,Hébergement,La Sauvegarde du Nord,MECS Foyer Roland et Concert I La Sauvegarde du Nord,41.0,cet établissement est habilité à recevoir 41 adolescentes de 14 à 18 ans et majeures de moins de 21 ans
Auvergne Rhône Alpes,Allier,Hébergement,FHF,MECS Le Trèfle I FHF,42.0,Accueil statut public
Hauts de France,Oise,Hébergement,Apprentis d'Auteuil,MECS Mère Teresa de Calcutta I Apprentis d'Auteuil,42.0,"La M.E.C.S. Mère Teresa de Calcutta accueille 42 jeunes, garçons et filles, âgés de 4 à 11 ans et des grands (12 à 18 ans) au sein de petites maisonnées"
Ile de France,Paris,Hébergement,Asso Jean Cotxet,MECS Amandiers-Belleville 2 I Asso Jean Coxtet,63.0,"un Foyer éducatif et deux appartements de proximité accueillant 21 garçons âgés de 13 à 21 ans (14 dans l’internat et 7 dans les appartements), une Suite Educative accueillant 42 adolescents et jeunes majeurs garçons et filles de 16 à 21 ans"
Hauts de France,Oise,Hébergement,Home de l'Enfance,MECS Jeunes majeurs I Home de l'Enfance,43.0,"accueille des jeunes âgés de 16 à 21 ans dans un petit espace collectif nommé « la villa » puis en appartements (à Beauvais et Compiègne). Ces deux étapes permettent de renforcer les compétences quotidiennes, travailler un projet professionnel et se familiariser avec la dimension administrative et budgétaire."
PACA,Alpes Maritimes,Hébergement,Association Montjoye,MECS I Association Montjoye,91.0,"Un hébergement au bénéfice de 91 mineurs de 3 à 18 ans, en priorité des fratries, placées dans le cadre de la protection de l’enfance, sur le territoire de Nice et alentours ainsi que l’Est du département.
"
Bourgogne Franche Comté,Yonne,Hébergement,La VAGA,AE de l'Auxerrois I La VAGA,44.0,1 maison d’enfants pour 44 enfants 2 à 21 ans répartis en 4 groupes dont un service « Espace tremplin » avec appartement de semi-autonomie et 3 places de repli pour le placement à domicile.
PACA,Alpes Maritimes,Hébergement,SOS Villages d'Enfants,Village d'enfants SOS de Carros I SOS Villages d'Enfants,45.0,"Le village d’enfants SOS de Carros a une capacité d’accueil théorique de 45 places. Il accueille 43 enfants.
0-5ans : 9
6-10ans : 18
11-14ans : 11
15-17ans : 6"
Auvergne Rhône Alpes,Cantal,Hébergement,Itinova,MECS Chanteclair I Itinova,45.0,"accueillir les 45 enfants de 6 à 18, voire 21 ans"
Bourgogne Franche Comté,Cote d'Or,Hébergement,ACODEGE,SAEHD (Service d'Accompagnement Educatif d'Hébergement Diversifié) Les Appart' I ACODEGE,45.0,"Il prend en charge 45 jeunes adolescents âgés de 15 à 19 ans en offrant un panel d’hébergements diversifiés (Appartements semi-collectifs, studios rue Devosges, quartier intergénérationnelle Atout’âge, Résidences ADOMA, ALIS…). – 15 jeunes bénéficient d’un accompagnement dans 4 appartements semi-collectifs (3 à 4 jeunes),

– 15 jeunes sont hébergés en studios individuels à proximité de l’équipe éducative,

– 11 sont en studios diffus en centre-ville et 4 sur un nouveau quartier intergénérationnel dans des T1."
Bourgogne Franche Comté,Doubs,Hébergement,La VAGA,SAF I La VAGA,49.0,"Le Service d’Accueil en Famille du Doubs accueille 45 enfants et jeunes de la naissance à 21 ans.
"
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Championnet,ITEP Home Fleuri I Championnet,45.0," 45 garçons et filles de 0 à 20 ans selon plusieurs modalités : accueil de nuit, accueil de jour, suivi ambulatoire."
Ile de France,Yvelines,Hébergement,La VAGA,AETP Vallée de Seine I La VAGA,45.0,"jeunes de 12 à 18 ans.

1 SESSAD pour 35 jeunes à Mantes-La-Ville.
3 unités de vie pour 21 jeunes à Mantes-la-Ville, Flins et Limay
1 service d’accueil familial de 4 enfants.
1 appartement pour 6 jeunes
1 équipe mobile en charge d’une file de 10 suivis sur tout le département, en prévention d’éventuelles ruptures de parcours dans l’exercice de la mesure de placement."
PACA,Var,Placement à Domicile,Moissons Nouvelles,PAD de Regain I Moissons Nouvelles,45.0,"Nombre de places : 45
0-18ans. Mixte"
Ile de France,Val d'Oise,Accueil de jour,La VAGA,AE Ville Nouvelle I La VAGA,24.0,"1 accueil de jour Camille Claudel à Pontoise, pour 24 enfants de 2 à 12 ans."
Grand Est,Ardennes,Hébergement,Apprentis d'Auteuil,MECS Don Bosco I Apprentis d'Auteuil,47.0,accès à l’autonomie est particulièrement travaillé avec les jeunes âgés de 16 à 18 ans
Occitanie,Hérault,Hébergement,Association Mas des Moulins,MECS Notre-Dame de Bon Secours I Association Mas des Moulins,47.0,Accueil jeunes mixtes
Ile de France,Hauts de Seine,Hébergement,Apprentis d'Auteuil,MECS Saint-Maximilien Kolbe I Apprentis d'Auteuil,47.0,"Située à Boulogne, la Maison d’Enfants à Caractère Social (M.E.C.S.) Saint Maximilien Kolbe accueille des garçons et filles âgés de jeunes (14-18 ans), Jeunes Adultes (17-21 ans)"
Nouvelle Aquitaine,Lot et Garonne,Hébergement,APRES,MECS Concorde I APRES,48.0,"Maison d’Enfants à Caractère Social, accueille des enfants, adolescents et jeunes majeurs filles et garçons en difficulté, en danger ou délinquants âgés de 0 à 21 ans. "
Nouvelle Aquitaine,Pyrénées Atlantiques,Hébergement,Mission Père Cestac,MECS Cestac I Mission Père Cestac,48.0,"La Maison d’Enfants CESTAC est organisée en 4 groupes :

- 3 groupes mixtes en internat :

IZARRA accueillant des enfants âgés de 6 à 12 ans.
IBAIA accueillant des jeunes âgés de 13 à 17 ans
OIHANA accueillant des adolescents âgés de 13 à 18 ans

- 1 service de semi autonomie mixte pour les 16/21 ans (PASAIA) avec accueil en appartements sur le site de la MECS ou dans le BAB."
Ile de France,Seine et Marne,Hébergement,Action Enfance,Village d'Enfants de Cesson I Action Enfance,48.0,"Il peut accueillir 48 enfants, garçons et filles de 0 à 18 ans, confiés par l’Aide Sociale à l’Enfance au titre de la protection de l’enfance. 8 maisons"
Nouvelle Aquitaine,Deux Sèvres,Hébergement,Département des Deux-Sèvres,Maison Départementale de l'Enfance I Département des Deux-Sèvres,48.0,Hébergement Complet Internat : 48 places
Ile de France,Essone,Placement Familial,La VAGA,AE d'Etampes I La VAGA,48.0,1 service d’accueil en famille prend en charge 48 garçons et filles de la naissance à 18 ans.
Grand Est,Ardennes,Hébergement,Groupe SOS Jeunesse,MECS La cité des enfants I Groupe SOS Jeunesse,49.0,"Elle peut accueillir jusqu’à 49 jeunes, filles ou garçons, âgés de 11 à 21 ans"
Pays de la Loire,Maine et Loire,Hébergement,SOS Villages d'Enfants,Village d'enfants Le Lion-d'Angers I SOS Villages d'Enfants,49.0,Il accueille 49 enfants (15 fratries)
Grand Est,Aube,Hébergement,SOS Villages d'Enfants,Village d'Enfants de Bréviandes I SOS Villages d'Enfants,50.0,"comprend 8 maisons et 2 studios de semi-autonomie. Ce Village, le 10ème de la Fondation, accueille 50 enfants âgés de de deux à dix-huit ans, filles et garçons."
Centre Val de Loire,Eure et Loir,Hébergement,SOS Villages d'Enfants,Village d'Enfants Châteaudun I SOS Village d'Enfants,50.0,"Nombre d’enfants par tranche d’âge :
- 0-5ans : 6
- 6-10ans : 16
- 11-14ans : 17
- 15-17ans : 8"
Occitanie,Hérault,Hébergement,Groupe SOS Jeunesse,MNA L'Estanc I Groupe SOS Jeunesse,50.0,accueille les jeunes se présentant comme mineur·e·s non accompagné·e·s et sollicitant la protection du Département
Occitanie,Hérault,Hébergement,Groupe SOS Jeunesse,MNA L'Estanc Antenne I Groupe SOS Jeunesse ,50.0,accueille les jeunes se présentant comme mineur·e·s non accompagné·e·s et sollicitant la protection du Département
Centre Val de Loire,Indre et Loire,Hébergement,Action Enfance,Village d'Enfants Chinon I Action Enfance ,50.0,"Un Village d’une capacité de 30 places, sur le modèle déjà épr
Un service d’accompagnement renforcé pour adolescents en situation complexe, d’une capacité de 9 places. ouvé par la Fondation : accueil de frères et sœurs en maison (6 enfants par maison)
Un accueil adolescents en appartements partagés d’une capacité 9 de places, ainsi que 2 places d’accueil en autonomie, en appartements diffus."
Centre Val de Loire,Indre et Loire,Hébergement,Sauvegarde 41,MECS SAPPA I Sauvegarde 37,50.0,jeunes de 16 à 18 ans et les jeunes majeurs
Bourgogne Franche Comté,Jura,Placement Familial,La VAGA,AE I La VAGA,50.0,"1 service spécialisé d’accueil en famille pour 50 enfants de la naissance à 21 ans, maintenant un lien avec leurs parents."
Grand Est,Moselle,Hébergement,CMSEA,MECS la Versée I CMSEA,50.0,"La MECS accueille 50 mineurs âgés de 3 à 17 ans pour des séjours de durée variable, dont les familles se trouvent en difficulté momentanée ou durable et ne peuvent, seules ou avec le recours de proches, assumer la charge et l'éducation de leurs enfants."
Nouvelle Aquitaine,Pyrénées Atlantiques,Hébergement,Mission Père Cestac,DAMNA I Mission Père Cestac,50.0,l’accueil de 50 garçons âgés de 15 à 18 ans
Bourgogne Franche Comté,Saône et Loire,Hébergement,Prado Bourgogne,MECS La Maisonnée I Prado Bourgogne,53.0,"Ä Hébergement Spécialisé (mixité) 50
répartis sur 3 unités de 13
1 Unité de 11 pour les plus âgées + 3 d'accueil d'urgence"
Ile de France,Seine et Marne,Hébergement,Action Enfance,Village d'Enfants La Boisserelle I Action Enfance,50.0,"Il permet l’accueil de 50 enfants (garçons et filles) de 2 à 18 ans, 5 enfants par maison, "
PACA,Var,Hébergement,SOS Villages d'Enfants,Village d'enfants SOS Besse-sur-Issole I SOS Villages d'Enfants,50.0,"Le village d’enfants SOS comprend 9 maisons familiales, bénéficiant toutes d’un espace extérieur, et une maison commune "
Bourgogne Franche Comté,Territoire de Belfort,Hébergement,Indépendant,MECS Villa des Sapins I Indépendante,60.0," une soixantaine de mineurs dès 4 ans, et quelques majeurs entre 18 et 21 ans"
Ile de France,Val d'Oise,Hébergement,La VAGA,MNA AMINA I La VAGA,50.0,"Le service d’accueil pour mineurs non accompagnés – AMINA, accompagne 50 jeunes de 15 à 18 ans."
Auvergne Rhône Alpes,Isère,Hébergement,L'Astragale 44,MECS Les Tisserands I L'Astragale 44,54.0,Établissement Masculin
Grand Est,Meurthe et Moselle,Hébergement,SOS Villages d'Enfants,Village d'enfants de Jarville I SOS Villages d'Enfants ,51.0,"Capacité théorique d’accueil : 51 enfants 
6-10ans : 15
11-14ans : 16
15-17 : 10
Jeunes Majeurs : 7"
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,Dispositif d'Accueil en Urgence du Rhône I Acolea,51.0,Le dispositif départemental centralisé d’accueil d’urgence existe depuis le 2 septembre 2019. Il s’agit d’un dispositif mixte reposant sur une perspective de 51 places pour des enfants de 0 à 18 ans accueillis en établissement ou en famille d’accueil dans le Rhône. Ce Dispositif a la particularité d’une gestion centralisée des places disponibles par une plateforme d’urgence.
Occitanie,Gers,Hébergement,Association Louis de Marillac,MECS Louise de Marillac I Association Louise de Marillac,42.0, cinq pavillons et 2 studios situés sur l’ensemble du Bas-Rhin
Auvergne Rhône Alpes,Isère,Hébergement,La Sauvegarde Isère,Le Village de l'amitié I La Sauvegarde Isère,52.0,"3 Pavillons verticaux : les enfants sont âgés de 6 à 15 ans et sont accueillis dans les 3 pavillons d’internat en chambre individuelle ou partagée.
1 Pavillon pré-adolescents : les jeunes sont âgés de 15 ans à 18 ans
1 Pavillon pour les grands adolescents : les jeunes sont âgés de 15 ans à 18 ans et sont accueillis selon 2 modalités : hébergement d’internat ou un service dédié aux plus grands afin d’expérimenter la semi autonomie."
Bourgogne Franche Comté,Jura,Hébergement,Juralliance,MECS Prélude I Juralliance,52.0,Elle dispose d'une capacité d'accueil de 52 places dont 8 MNA et 6 places en appartements pour parents ou jeunes isolés
Grand Est,Meurthe et Moselle,Accueil de jour,Association REALISE,Accueil de Jour Laxou I Association REALISE,52.0,52 jeunes et adolescent(e)s âgé(e)s de 11 à 18 ans
Hauts de France,Nord,Hébergement,La Sauvegarde du Nord,MECS DIVA I La Sauvegarde du Nord,52.0,recevoir en hébergement 52 jeunes âgés de 14 à 21 ans
Ile de France,Val de Marne,Hébergement,Groupe SOS Jeunesse,AMIE (Accueil Mineurs Isolés Etrangers) GAIA 94 I Groupe SOS Jeunesse,52.0,"âgés de 15 ans à 18 ans, en accueil d’urgence ou en hébergement sur des moyens et longs séjours. GAIA 94 propose un hébergement en appartements individuels ou partagés."
